DATE (MM/DD/YYYY),HOUR-MST,Avg Global LI-200 [W/m^2],Avg Cabin Temp [deg F],Avg Lower Temp [deg F],Avg Relative Humidity [%],Avg CR10X Battery [VDC]
1/7/2018,5,-0.0162,49.2200,63.2308,56.9242,12.4333
1/7/2018,6,-0.0182,48.8892,63.1592,63.0958,12.4125
1/7/2018,7,-0.0104,48.4183,63.0433,57.8033,12.3917
1/7/2018,8,5.9284,47.8875,62.7850,56.9625,12.3817
1/7/2018,9,114.9875,47.5217,62.5133,48.2375,12.5783
1/7/2018,10,315.8833,47.6367,62.4033,37.5942,13.2525
1/7/2018,11,464.3667,48.1550,62.2250,29.0058,13.3358
1/7/2018,12,474.9333,48.8925,62.2025,27.8817,13.3642
1/7/2018,13,315.1417,49.6192,62.1742,28.0725,13.3700
1/7/2018,14,213.0167,49.9383,62.3125,29.7475,13.3433
1/7/2018,15,355.3167,50.4242,62.3533,28.8133,13.0233
1/7/2018,16,208.6083,51.4067,62.4625,29.0600,12.8575
1/7/2018,17,48.1005,51.7983,62.8475,31.3950,12.7233
1/7/2018,18,0.4880,51.2642,63.0217,38.4133,12.6325
1/7/2018,19,-0.0198,50.8483,63.1125,36.5925,12.6000
1/7/2018,20,-0.0266,50.3450,63.1392,36.8608,12.5850
1/7/2018,21,-0.0233,49.7217,63.1317,38.0400,12.5675
1/7/2018,22,-0.0251,49.1983,63.0625,38.9750,12.5550
1/7/2018,23,-0.0258,48.7592,63.0475,41.1200,12.5317
1/8/2018,0,-0.0327,48.2900,62.9342,43.3183,12.5183
1/8/2018,1,-0.0281,47.8417,62.7742,45.5083,12.4975
1/8/2018,2,-0.0288,47.4408,62.6600,45.9208,12.4792
1/8/2018,3,-0.0317,47.0117,62.5275,45.9067,12.4583
1/8/2018,4,-0.0208,46.5642,62.3708,43.5675,12.4392
1/8/2018,5,-0.0210,46.1175,62.1992,43.1125,12.4125
1/8/2018,6,-0.0164,45.6892,62.0108,45.2958,12.3917
1/8/2018,7,0.0014,45.2542,61.8483,43.7808,12.3725
1/8/2018,8,9.2796,44.8575,61.6975,44.2750,12.3617
1/8/2018,9,55.3525,44.6042,61.5725,43.9033,12.4217
1/8/2018,10,122.9500,44.5642,61.4017,42.7717,12.7025
1/8/2018,11,249.3417,44.7417,61.2933,34.1517,13.1792
1/8/2018,12,314.0333,45.3783,61.2408,29.9600,13.3758
1/8/2018,13,388.1917,46.5175,61.2742,23.5983,13.3783
1/8/2018,14,393.3583,47.6800,61.3550,20.0433,13.3833
1/8/2018,15,389.4833,49.6875,61.5150,17.2950,13.2108
1/8/2018,16,215.4333,51.4850,61.8750,16.6992,12.9558
1/8/2018,17,36.3978,52.0500,62.2250,17.1758,12.7425
1/8/2018,18,0.1952,51.7792,62.5717,21.5283,12.6400
1/8/2018,19,-0.0250,51.4675,62.7950,23.9608,12.6092
1/8/2018,20,-0.0248,51.1758,62.9708,25.9283,12.5917
1/8/2018,21,-0.0237,50.9833,63.0833,28.7675,12.5733
1/8/2018,22,-0.0237,50.5650,63.1333,30.4508,12.5575
1/8/2018,23,-0.0238,50.2258,63.1317,31.3883,12.5375
1/9/2018,0,-0.0246,49.9425,63.1117,35.5442,12.5175
1/9/2018,1,-0.0278,49.6308,63.1158,42.3675,12.4967
1/9/2018,2,-0.0246,49.2700,63.0767,48.8000,12.4758
1/9/2018,3,-0.0201,48.8733,62.9817,54.5250,12.4525
1/9/2018,4,-0.0186,48.5317,62.8933,57.8533,12.4300
1/9/2018,5,-0.0203,48.2400,62.8558,59.5392,12.4033
1/9/2018,6,-0.0211,47.9775,62.7592,60.5533,12.3783
1/9/2018,7,-0.0197,47.7567,62.6225,63.1583,12.3575
1/9/2018,8,5.3924,47.4700,62.5467,61.6325,12.3525
1/9/2018,9,108.2525,47.2758,62.4008,55.0500,12.5383
1/9/2018,10,333.1917,47.9175,62.3425,46.9225,13.2108
1/9/2018,11,440.8417,48.9150,62.2817,35.7183,13.3042
1/9/2018,12,447.0167,50.1342,62.2742,29.4592,13.3617
1/9/2018,13,319.2083,51.1650,62.4150,29.1992,13.2508
1/9/2018,14,483.5167,52.6650,62.5675,26.7425,13.1608
1/9/2018,15,391.9167,54.1675,62.7883,27.8267,12.9633
1/9/2018,16,218.0167,55.4408,63.0433,26.8783,12.9492
1/9/2018,17,30.6731,55.7108,63.4225,28.3367,12.7050
1/9/2018,18,0.3393,55.2542,63.6883,31.4075,12.6233
1/9/2018,19,-0.0182,54.7275,63.9000,33.0075,12.5958
1/9/2018,20,-0.0163,54.2725,64.0767,37.2283,12.5792
1/9/2018,21,-0.0133,53.8450,64.1517,40.7125,12.5617
1/9/2018,22,-0.0147,53.3425,64.1442,46.4117,12.5450
1/9/2018,23,-0.0182,52.8517,64.0925,52.2908,12.5225
1/10/2018,0,-0.0217,52.2750,63.9642,54.0458,12.5050
1/10/2018,1,-0.0278,51.7742,63.8517,52.1050,12.4850
1/10/2018,2,-0.0254,51.2700,63.7333,52.7858,12.4658
1/10/2018,3,-0.0256,50.7775,63.6250,54.6967,12.4450
1/10/2018,4,-0.0268,50.3400,63.4867,55.7142,12.4233
1/10/2018,5,-0.0296,49.8450,63.3900,56.2942,12.3967
1/10/2018,6,-0.0294,49.4275,63.2592,56.9233,12.3758
1/10/2018,7,-0.0267,49.0892,63.1167,57.2050,12.3567
1/10/2018,8,10.7684,48.7667,63.0142,59.5925,12.3542
1/10/2018,9,125.9192,48.4992,62.8558,60.5058,12.6450
1/10/2018,10,166.8667,48.5017,62.6875,53.1892,13.1533
1/10/2018,11,359.2167,48.7342,62.5958,49.6725,13.3125
1/10/2018,12,608.3167,49.7167,62.5425,39.5592,13.3600
1/10/2018,13,233.3917,50.8417,62.6017,33.6900,13.3625
1/10/2018,14,201.4617,51.3333,62.6567,32.2367,13.2783
1/10/2018,15,112.5242,51.6200,62.7858,39.5458,13.0358
1/10/2018,16,47.0358,51.7658,62.8933,41.8967,12.7842
1/10/2018,17,8.8581,51.7392,62.9317,53.6933,12.6408
1/10/2018,18,0.1194,51.5967,63.0275,50.0750,12.6075
1/10/2018,19,-0.0263,51.2850,62.9725,39.9233,12.5833
1/10/2018,20,-0.0242,50.9150,62.9658,40.8292,12.5675
1/10/2018,21,-0.0239,50.5258,62.9158,40.5608,12.5508
1/10/2018,22,-0.0257,50.1975,62.8567,36.6442,12.5342
1/10/2018,23,-0.0285,49.8358,62.7950,40.3417,12.5133
1/11/2018,0,-0.0238,49.3417,62.6200,38.2442,12.4958
1/11/2018,1,-0.0238,48.7917,62.5400,37.9708,12.4758
1/11/2018,2,-0.0235,48.2158,62.3575,41.0117,12.4575
1/11/2018,3,-0.0256,47.5750,62.0600,41.6433,12.4383
1/11/2018,4,-0.0168,47.0008,61.8992,42.4525,12.4175
1/11/2018,5,-0.0172,46.3758,61.5700,44.5433,12.3917
1/11/2018,6,-0.0198,45.7942,61.3100,43.3383,12.3700
1/11/2018,7,-0.0015,45.0875,61.1058,43.1475,12.3500
1/11/2018,8,6.9508,44.4550,60.8742,42.3000,12.3400
1/11/2018,9,117.4433,43.8883,60.5417,38.6675,12.5708
1/11/2018,10,345.3917,43.9392,60.1850,34.1667,13.2375
1/11/2018,11,446.1250,44.2308,60.0433,30.0708,13.3108
1/11/2018,12,533.1250,44.5442,59.9808,27.3867,13.3800
